,date,price,pe,ticker
136,2016-06-30,60.759998,10.308,AXP
135,2016-06-30,60.759998,10.308,AXP
134,2016-06-30,60.759998,10.607,AXP
133,2016-06-30,60.759998,10.607,AXP
61,2015-12-31,69.550003,10.216,AXP
53,2015-12-31,69.550003,10.216,AXP
122,2015-12-31,69.550003,13.259,AXP
132,2015-12-31,69.550003,13.259,AXP
26,2015-12-31,69.550003,10.216,AXP
91,2015-12-31,69.550003,13.259,AXP
90,2015-09-30,74.129997,12.997,AXP
52,2015-09-30,74.129997,12.831,AXP
25,2015-09-30,74.129997,12.831,AXP
121,2015-09-30,74.129997,12.997,AXP
120,2015-06-30,77.720001,13.331,AXP
51,2015-06-30,77.720001,12.799,AXP
89,2015-06-30,77.720001,13.331,AXP
24,2015-06-30,77.720001,12.799,AXP
88,2015-03-31,78.120003,13.318,AXP
50,2015-03-31,78.120003,13.111,AXP
119,2015-03-31,78.120003,13.318,AXP
23,2015-03-31,78.120003,13.111,AXP
131,2014-12-31,93.040001,16.358,AXP
49,2014-12-31,93.040001,14.003,AXP
60,2014-12-31,93.040001,14.003,AXP
87,2014-12-31,93.040001,16.358,AXP
22,2014-12-31,93.040001,14.003,AXP
118,2014-12-31,93.040001,16.358,AXP
47,2014-06-30,94.870003,16.884,AXP
85,2014-06-30,94.870003,17.823,AXP
116,2014-06-30,94.870003,17.823,AXP
20,2014-06-30,94.870003,16.884,AXP
84,2014-03-31,90.029999,17.359,AXP
19,2014-03-31,90.029999,16.864,AXP
115,2014-03-31,90.029999,17.359,AXP
46,2014-03-31,90.029999,16.864,AXP
114,2013-12-31,90.730003,18.137,AXP
130,2013-12-31,90.730003,18.137,AXP
83,2013-12-31,90.730003,18.137,AXP
59,2013-12-31,90.730003,17.827,AXP
18,2013-12-31,90.730003,17.827,AXP
45,2013-12-31,90.730003,17.827,AXP
17,2013-09-30,75.519997,19.117,AXP
113,2013-09-30,75.519997,17.38,AXP
44,2013-09-30,75.519997,19.117,AXP
82,2013-09-30,75.519997,17.38,AXP
129,2012-12-31,57.48,14.352,AXP
112,2012-12-31,57.48,14.352,AXP
58,2012-12-31,57.48,15.421,AXP
81,2012-12-31,57.48,14.352,AXP
43,2012-12-31,57.48,15.421,AXP
16,2012-12-31,57.48,15.421,AXP
42,2011-09-30,44.900002,12.164,AXP
80,2011-09-30,44.900002,11.155,AXP
111,2011-09-30,44.900002,11.155,AXP
15,2011-09-30,44.900002,12.164,AXP
110,2011-06-30,51.700001,13.329,AXP
79,2011-06-30,51.700001,13.329,AXP
41,2011-06-30,51.700001,12.509,AXP
14,2011-06-30,51.700001,12.509,AXP
78,2011-03-31,45.200001,12.497,AXP
109,2011-03-31,45.200001,12.497,AXP
13,2011-03-31,45.200001,13.738,AXP
40,2011-03-31,45.200001,13.738,AXP
77,2010-12-31,42.919998,12.735,AXP
128,2010-12-31,42.919998,12.735,AXP
108,2010-12-31,42.919998,12.735,AXP
12,2010-12-31,42.919998,12.913,AXP
39,2010-12-31,42.919998,12.913,AXP
57,2010-12-31,42.919998,12.913,AXP
11,2010-09-30,42.029999,13.647,AXP
107,2010-09-30,42.029999,13.627,AXP
38,2010-09-30,42.029999,13.647,AXP
76,2010-09-30,42.029999,13.627,AXP
10,2010-06-30,39.700001,15.962,AXP
75,2010-06-30,39.700001,14.638,AXP
106,2010-06-30,39.700001,14.638,AXP
37,2010-06-30,39.700001,15.962,AXP
9,2010-03-31,41.259998,20.703,AXP
74,2010-03-31,41.259998,19.153,AXP
36,2010-03-31,41.259998,20.703,AXP
105,2010-03-31,41.259998,19.153,AXP
127,2009-12-31,40.52,22.622,AXP
35,2009-12-31,40.52,21.457,AXP
8,2009-12-31,40.52,21.457,AXP
104,2009-12-31,40.52,22.622,AXP
73,2009-12-31,40.52,22.622,AXP
56,2009-12-31,40.52,21.457,AXP
7,2009-09-30,33.900002,25.049,AXP
103,2009-09-30,33.900002,24.374,AXP
34,2009-09-30,33.900002,25.049,AXP
72,2009-09-30,33.900002,24.374,AXP
33,2009-06-30,23.24,18.628,AXP
6,2009-06-30,23.24,18.628,AXP
71,2009-06-30,23.24,14.836,AXP
102,2009-06-30,23.24,14.836,AXP
5,2009-03-31,13.63,13.222,AXP
70,2009-03-31,13.63,7.441,AXP
101,2009-03-31,13.63,7.441,AXP
32,2009-03-31,13.63,13.222,AXP
126,2008-12-31,18.549999,7.972,AXP
100,2008-12-31,18.549999,7.972,AXP
4,2008-12-31,18.549999,5.233,AXP
31,2008-12-31,18.549999,5.233,AXP
69,2008-12-31,18.549999,7.972,AXP
55,2008-12-31,18.549999,5.233,AXP
68,2008-09-30,35.43,12.485,AXP
99,2008-09-30,35.43,12.485,AXP
3,2008-09-30,35.43,9.695,AXP
30,2008-09-30,35.43,9.695,AXP
2,2008-06-30,37.669998,12.15,AXP
29,2008-06-30,37.669998,12.15,AXP
67,2008-06-30,37.669998,12.32,AXP
98,2008-06-30,37.669998,12.32,AXP
97,2008-03-31,43.720001,12.809,AXP
28,2008-03-31,43.720001,14.796,AXP
1,2008-03-31,43.720001,14.796,AXP
66,2008-03-31,43.720001,12.809,AXP
125,2007-12-31,52.02,15.163,AXP
27,2007-12-31,52.02,12.8,AXP
54,2007-12-31,52.02,12.8,AXP
0,2007-12-31,52.02,12.8,AXP
65,2007-12-31,52.02,15.163,AXP
96,2007-12-31,52.02,15.163,AXP
