date,price,pe,ticker
2016-06-30,97.9395232857,16.834,DIS
2016-03-31,98.2113640909,18.974,DIS
2015-12-31,109.892272909,16.589,DIS
2015-09-30,102.127,23.405,DIS
2015-06-30,111.762272636,24.83,DIS
2015-03-31,106.004762095,23.403,DIS
2014-12-31,93.054285619,20.391,DIS
2014-09-30,89.7795232381,20.305,DIS
2014-06-30,83.9300004,20.134,DIS
2014-03-31,80.69949945,20.053,DIS
2013-12-31,72.0185721905,19.067,DIS
2013-09-30,64.3494737895,19.827,DIS
2013-06-30,63.5945,20.01,DIS
2013-03-31,56.7200003,19.931,DIS
2012-12-31,49.5763158421,17.503,DIS
2012-09-30,51.9783336667,15.182,DIS
2012-06-30,46.6252381905,16.176,DIS
2012-03-31,43.0759092273,15.315,DIS
2011-12-31,36.5590003,14.782,DIS
2011-09-30,31.5395239524,12.483,DIS
2011-06-30,38.6904545,14.139,DIS
2011-03-31,42.6236364545,18.82,DIS
2010-12-31,37.2800003636,17.689,DIS
2010-09-30,33.9033333333,17.617,DIS
2010-06-30,33.8968185909,16.778,DIS
2010-03-31,33.6813635455,19.21,DIS
2009-12-31,31.6654548636,17.506,DIS
2009-09-30,27.511905,17.364,DIS
2009-06-30,24.2027271364,15.363,DIS
2009-03-31,17.299524,12.271,DIS
2008-12-31,22.5386365909,9.517,DIS
2008-09-30,32.3766662381,7.831,DIS
2008-06-30,32.9390480476,13.078,DIS
2008-03-31,31.4042105789,14.48,DIS
2007-12-31,32.6469998,13.367,DIS
2007-09-30,34.0363162105,12.793,DIS
2007-06-30,34.3385722857,14.299,DIS
2007-03-31,34.3514316667,15.957,DIS
2006-12-31,34.320002,16.742,DIS
2006-09-30,30.30050185,20.225,DIS
2006-06-30,29.542383381,21.121,DIS
2006-03-31,28.0922744091,25.174,DIS
2005-12-31,24.7038096667,18.895,DIS
2005-09-30,24.1661927619,19.494,DIS
2005-06-30,26.7623828095,18.364,DIS
2005-03-31,28.2928590476,21.425,DIS
2004-12-31,27.5881829545,25.248,DIS
2004-09-30,23.0033351905,24.162,DIS
2003-09-30,20.5514301905,36.839,DIS
