date,price,pe,ticker
2016-06-30,121.367727091,21.448,MCD
2016-03-31,121.7631825,23.8,MCD
2015-12-31,117.042272682,23.563,MCD
2015-09-30,96.8055003,23.347,MCD
2015-06-30,95.7981820455,22.487,MCD
2015-03-31,97.5990908636,21.254,MCD
2014-12-31,93.1276195238,19.187,MCD
2014-09-30,93.6109524286,18.014,MCD
2014-06-30,101.405237429,16.803,MCD
2014-03-31,96.3949997,18.075,MCD
2013-12-31,95.83950025,17.101,MCD
2013-09-30,97.01399995,17.109,MCD
2013-06-30,98.2314995,17.769,MCD
2013-03-31,98.1252623158,18.587,MCD
2012-12-31,88.85449985,17.642,MCD
2012-09-30,91.8994732105,16.004,MCD
2012-06-30,88.32099985,16.452,MCD
2012-03-31,97.7077278636,17.096,MCD
2011-12-31,98.0457139048,18.568,MCD
2011-09-30,87.94849945,17.879,MCD
2011-06-30,81.9309092727,16.721,MCD
2011-03-31,75.1321739565,16.12,MCD
2010-12-31,77.5580953333,15.701,MCD
2010-09-30,74.8480003,17.026,MCD
2010-06-30,68.3136364091,15.643,MCD
2010-03-31,65.7660870435,16.022,MCD
2009-12-31,62.3152378095,15.096,MCD
2009-09-30,55.9228567619,15.36,MCD
2009-06-30,58.2504545455,14.083,MCD
2009-03-31,53.36619,13.493,MCD
2008-12-31,60.6861904762,14.017,MCD
2008-09-30,62.569523619,13.122,MCD
2008-06-30,58.1415,15.596,MCD
2008-03-31,54.4484208421,26.589,MCD
2007-12-31,60.2109999,26.951,MCD
2007-09-30,53.0757895789,29.536,MCD
2007-06-30,51.34749945,27.602,MCD
2007-03-31,44.1209089091,16.189,MCD
2006-12-31,43.5120004,15.552,MCD
2006-09-30,37.88199995,17.52,MCD
2006-06-30,33.0504757619,15.49,MCD
2006-03-31,34.6745452273,17.862,MCD
2005-12-31,34.6585713333,17.023,MCD
2005-09-30,33.0428568571,17.592,MCD
2005-06-30,29.0890477619,16.071,MCD
2005-03-31,32.3840908182,14.926,MCD
2004-12-31,31.9880952857,18.96,MCD
2004-09-30,27.5323809048,18.836,MCD
2004-06-30,26.7295238095,18.639,MCD
2004-03-31,28.5686957826,20.745,MCD
2003-12-31,25.3009089091,25.597,MCD
2002-12-31,16.8309524286,17.58,MCD
