date,price,pe,ticker
2016-06-30,28.7349998636,13.977,CSCO
2015-12-31,27.0631817273,12.871,CSCO
2015-12-31,27.0631817273,14.498,CSCO
2015-09-30,25.7538096667,14.822,CSCO
2015-06-30,28.6090911818,16.909,CSCO
2015-03-31,28.3328572381,17.397,CSCO
2014-12-31,27.6027272727,17.839,CSCO
2014-09-30,25.0142857619,16.142,CSCO
2014-06-30,24.7161906667,15.857,CSCO
2014-03-31,21.8114285714,14.055,CSCO
2013-12-31,21.2576189048,11.605,CSCO
2013-09-30,24.0642105263,12.973,CSCO
2013-06-30,24.3747368421,13.325,CSCO
2013-03-31,21.33499985,12.281,CSCO
2012-12-31,19.72950015,11.653,CSCO
2012-09-30,19.0847368421,12.552,CSCO
2012-06-30,16.77550015,12.154,CSCO
2012-03-31,20.1857141905,15.67,CSCO
2011-12-31,18.3685714286,15.202,CSCO
2011-09-30,15.9823810952,13.544,CSCO
2011-06-30,15.3822726818,12.38,CSCO
2011-03-31,17.6763637273,13.422,CSCO
2010-12-31,19.6728572381,13.454,CSCO
2010-09-30,21.3704765238,15.561,CSCO
2010-06-30,22.8418181364,18.91,CSCO
2009-12-31,23.8304763333,22.708,CSCO
2009-12-31,23.8304763333,24.137,CSCO
2009-09-30,22.71199995,21.793,CSCO
2009-06-30,19.3018185909,15.181,CSCO
2009-03-31,15.6722726364,11.912,CSCO
2008-12-31,16.4490475714,11.968,CSCO
2008-09-30,22.9499998,16.351,CSCO
2008-06-30,25.5428572857,18.964,CSCO
2008-03-31,24.60950015,16.903,CSCO
2007-12-31,28.0065,22.217,CSCO
2007-09-30,32.1294737368,26.613,CSCO
2007-06-30,26.963333381,22.198,CSCO
2007-03-31,25.9504545909,25.81,CSCO
2006-12-31,27.2165,27.459,CSCO
2006-09-30,22.6668421053,24.846,CSCO
2006-06-30,19.8204545455,22.465,CSCO
2006-03-31,21.2586958696,21.578,CSCO
2005-12-31,17.4704761429,19.109,CSCO
2005-09-30,18.0680952857,19.859,CSCO
2005-06-30,19.4471427619,22.661,CSCO
2005-03-31,18.0533334286,20.771,CSCO
2004-12-31,19.3647619048,26.767,CSCO
2004-09-30,19.1680949048,29.165,CSCO
2004-06-30,23.3471426667,38.072,CSCO
2004-03-31,22.9659093182,44.103,CSCO
2003-12-31,23.8257145238,37.622,CSCO
2003-09-30,20.5538094762,39.765,CSCO
