date,price,pe,ticker
2016-06-30,113.628181864,10.685,TRV
2016-03-31,113.703181864,9.648,TRV
2015-12-31,112.781363409,8.901,TRV
2015-09-30,99.49850135,9.179,TRV
2015-06-30,99.2063636818,9.027,TRV
2015-03-31,107.794545909,9.349,TRV
2014-12-31,105.270475476,9.404,TRV
2014-09-30,93.8334995,8.575,TRV
2014-06-30,94.7304764286,8.661,TRV
2014-03-31,83.7224999,7.885,TRV
2013-12-31,88.52799985,7.95,TRV
2013-09-30,84.0240011,10.561,TRV
2013-06-30,81.57799985,10.272,TRV
2013-03-31,82.4089476316,12.682,TRV
2012-12-31,72.83999985,12.318,TRV
2012-09-30,67.375263,10.12,TRV
2012-06-30,62.30650025,10.879,TRV
2012-03-31,58.3481818636,17.232,TRV
2011-12-31,57.0619047143,16.384,TRV
2011-09-30,49.0454997,13.191,TRV
2011-06-30,58.9890476667,10.176,TRV
2011-03-31,58.8591306087,7.537,TRV
2010-12-31,55.2931820455,8.013,TRV
2010-09-30,51.7175003,6.997,TRV
2010-06-30,50.1376188571,6.55,TRV
2010-03-31,53.5582606957,7.331,TRV
2009-12-31,50.1809087273,7.478,TRV
2009-09-30,48.5719999,9.002,TRV
2009-06-30,42.3713635455,9.848,TRV
2009-03-31,37.7540906364,9.196,TRV
2008-12-31,41.8363638182,7.701,TRV
2008-09-30,44.8164998,6.792,TRV
2008-06-30,46.8847622381,6.461,TRV
2008-03-31,46.9969997,6.838,TRV
2007-12-31,53.6847367368,6.345,TRV
2007-09-30,50.4638887222,7.059,TRV
2007-06-30,53.7461901905,7.359,TRV
2007-03-31,51.3004548636,8.455,TRV
2006-12-31,52.9805002,8.509,TRV
2006-12-31,52.9805002,8.148,TRV
2006-09-30,45.9057900526,11.034,TRV
2006-06-30,43.6650000909,13.395,TRV
2006-03-31,42.1278263478,13.216,TRV
2005-12-31,45.101428,18.475,TRV
2005-09-30,43.04000005,18.2,TRV
2005-06-30,38.8280952381,15.328,TRV
2005-03-31,37.3799994545,43.807,TRV
2004-12-31,37.0577274091,26.473,TRV
2003-12-31,38.3577272273,14.904,TRV
2002-12-31,34.6861910952,34.56,TRV
