date,price,pe,ticker
2016-06-30,151.448094762,12.988,IBM
2016-03-31,143.671818136,11.115,IBM
2015-12-31,137.801902429,9.645,IBM
2015-09-30,145.364760714,9.412,IBM
2015-06-30,167.147271591,13.901,IBM
2015-03-31,159.808094667,14.313,IBM
2014-12-31,159.967727636,13.552,IBM
2014-09-30,191.474284667,12.726,IBM
2014-06-30,183.13800045,11.591,IBM
2014-03-31,187.581903381,12.472,IBM
2013-12-31,179.11476281,11.576,IBM
2013-09-30,188.7669998,12.259,IBM
2013-06-30,200.84999995,13.425,IBM
2013-03-31,210.97800145,13.553,IBM
2012-12-31,192.1839989,13.367,IBM
2012-09-30,203.926664611,13.43,IBM
2012-06-30,193.934761381,13.76,IBM
2012-03-31,203.579999091,14.366,IBM
2011-12-31,187.5694999,14.468,IBM
2011-09-30,170.245713714,13.607,IBM
2011-06-30,165.684283952,14.211,IBM
2011-03-31,160.425651261,13.519,IBM
2010-12-31,145.251819227,13.315,IBM
2010-09-30,130.180951476,12.146,IBM
2010-06-30,127.525453727,11.577,IBM
2010-03-31,127.865909818,12.031,IBM
2009-12-31,129.040476143,12.236,IBM
2009-09-30,119.239047857,12.155,IBM
2009-06-30,106.56666681,12.154,IBM
2009-03-31,91.8300005455,10.942,IBM
2008-12-31,82.1295235714,9.398,IBM
2008-09-30,116.79100035,9.887,IBM
2008-06-30,124.578571476,15.176,IBM
2008-03-31,115.885790368,15.491,IBM
2007-12-31,108.34249915,15.199,IBM
2007-09-30,116.657894684,15.717,IBM
2007-06-30,104.7054999,15.257,IBM
2007-03-31,93.7804548636,15.189,IBM
2006-12-31,95.01100125,14.903,IBM
2006-09-30,81.6873686842,15.218,IBM
2006-06-30,77.9095445455,13.695,IBM
2006-03-31,82.2126083478,15.555,IBM
2005-12-31,84.9528575714,15.851,IBM
2005-09-30,79.6725006,16.909,IBM
2005-06-30,75.5418190455,16.632,IBM
2005-03-31,91.2571429524,14.786,IBM
2004-12-31,97.1199998571,17.941,IBM
2004-09-30,85.3357147619,18.522,IBM
2004-09-30,85.3357147619,18.396,IBM
2004-06-30,89.3676187619,18.043,IBM
2003-12-31,92.1968182273,21.198,IBM
2002-12-31,80.6057147143,36.514,IBM
