"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"LRN","K12 Inc","12.3","470960038.2","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/lrn",
"KTWO","K2M Group Holdings, Inc.","21.15","785479253.85","n/a","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ktwo",
"KAI","Kadant Inc","42.33","460841334.09","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kai",
"KALU","Kaiser Aluminum Corporation","71.75","1276541416.5","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/kalu",
"KBIO","KaloBios Pharmaceuticals, Inc.","1.7","56079288.9","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kbio",
"KMDA","Kamada Ltd.","3.69","132767539.47","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kmda",
"KAMN","Kaman Corporation","39.53","1071901804.8","n/a","n/a","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/kamn",
"KNDI","Kandi Technologies Group, Inc.","11.46","530309838.3","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/kndi",
"KCLI","Kansas City Life Insurance Company","48.25","525400956.75","n/a","n/a","Finance","Life Insurance","http://www.nasdaq.com/symbol/kcli",
"KSU","Kansas City Southern","120.29","13275247463.82","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu",
"KSU^","Kansas City Southern","27.726","0","n/a","n/a","Transportation","Railroads","http://www.nasdaq.com/symbol/ksu^",
"KS","KapStone Paper and Packaging Corporation","29.94","2874250658.64","n/a","n/a","Basic Industries","Paper","http://www.nasdaq.com/symbol/ks",
"KAR","KAR Auction Services, Inc","34.88","4912789401.6","n/a","2009","Consumer Durables","Automotive Aftermarket","http://www.nasdaq.com/symbol/kar",
"KPTI","Karyopharm Therapeutics Inc.","38.55","1260606703.65","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kpti",
"KATE","Kate Spade & Company","29.8","3787921031.2","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kate",
"KED","Kayne Anderson Energy Development Company","34.04","357130081.32","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/ked",
"KYE","Kayne Anderson Energy Total Return Fund, Inc.","27.06","976202813.52","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/kye",
"KMF","Kayne Anderson Midstream Energy Fund, Inc","33.96","751918446.12","n/a","2010","n/a","n/a","http://www.nasdaq.com/symbol/kmf",
"KYN","Kayne Anderson MLP Investment Company","37.58","4100351770.68","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/kyn",
"KYN^E","Kayne Anderson MLP Investment Company","25.3","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^e",
"KYN^F","Kayne Anderson MLP Investment Company","24.97","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^f",
"KYN^G","Kayne Anderson MLP Investment Company","25.5","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kyn^g",
"KB","KB Financial Group Inc","34.75","13425721331.75","n/a","n/a","Finance","Commercial Banks","http://www.nasdaq.com/symbol/kb",
"KBH","KB Home","16.1","1478084456.8","n/a","1986","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/kbh",
"KBR","KBR, Inc.","16.81","2438777704.23","n/a","2006","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/kbr",
"KBSF","KBS Fashion Group Limited","4.25","108023648.25","n/a","2013","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/kbsf",
"KAP","KCAP Financial, Inc.","25.2","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/kap",
"KCAP","KCAP Financial, Inc.","7.46","274182393.12","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/kcap",
"KCG","KCG Holdings, Inc.","11.73","1372894202.67","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/kcg",
"KRNY","Kearny Financial","13.71","923714636.37","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/krny",
"K","Kellogg Company","66.82","23723364863.9","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/k",
"KELYA","Kelly Services, Inc.","16.56","623718373.68","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelya",
"KELYB","Kelly Services, Inc.","15.72","592080485.16","n/a","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/kelyb",
"KIQ","Kelso Technologies Inc","5.53","249938038.56","n/a","n/a","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq",
"KEM","Kemet Corporation","4.15","188430397.25","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/kem",
"KMPA","Kemper Corporation","25.82","0","n/a","2014","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kmpa",
"KMPR","Kemper Corporation","35.09","1848036430.35","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/kmpr",
"KMT","Kennametal Inc.","35.29","2791651869.28","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/kmt",
