"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"XEL","Xcel Energy Inc.","35.4","17901281674.2","n/a","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/xel",
"XCRA","Xcerra Corporation","8.83","480587628.55","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/xcra",
"XNCR","Xencor, Inc.","16.62","521795304.12","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xncr",
"XBKS","Xenith Bankshares, Inc.","6.4","82711084.8","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/xbks",
"XENE","Xenon Pharmaceuticals Inc.","15.6","221228794.8","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xene",
"XNPT","XenoPort, Inc.","8.2","510350197.8","n/a","2005","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xnpt",
"XRM","Xerium Technologies, Inc.","14.79","230069512.92","n/a","2005","Basic Industries","Textiles","http://www.nasdaq.com/symbol/xrm",
"XRX","Xerox Corporation","13.96","15936117837.24","n/a","n/a","Miscellaneous","Business Services","http://www.nasdaq.com/symbol/xrx",
"XGTI","XG Technology, Inc","1.02","25514385.06","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgti",
"XGTIW","XG Technology, Inc","0.452","0","n/a","2013","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/xgtiw",
"XLNX","Xilinx, Inc.","43.005","11372899445.415","n/a","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"XIN","Xinyuan Real Estate Co Ltd","2.5","198509520","n/a","2007","Basic Industries","Homebuilding","http://www.nasdaq.com/symbol/xin",
"XL","XL Group plc","33.54","8655120460.74","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/xl",
"XOXO","XO Group, Inc.","16.78","451103703.7","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xoxo",
"XOMA","XOMA Corporation","4.01","430653885.84","n/a","1986","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xoma",
"XOOM","Xoom Corporation","17.73","681675877.08","n/a","2013","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/xoom",
"XPLR","Xplore Technologies Corp","6.79","57513432.06","n/a","n/a","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/xplr",
"XPO","XPO Logistics, Inc.","40.25","2628036769.75","n/a","n/a","Consumer Services","Transportation Services","http://www.nasdaq.com/symbol/xpo",
"XTLB","XTL Biopharmaceuticals Ltd.","2.34","27248703.3","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/xtlb",
"XUE","Xueda Education Group","2.57","171690111.87","n/a","2010","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/xue",
"XNET","Xunlei Limited","6.6","429101389.2","n/a","2014","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/xnet",
"XYL","Xylem Inc.","38.59","7018537611.03","n/a","2011","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/xyl",
