"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"JJSF","J & J Snack Foods Corp.","107.18","2000714590.7","n/a","1986","Consumer Non-Durables","Specialty Foods","http://www.nasdaq.com/symbol/jjsf",
"JPM/WS","J P Morgan Chase & Co","20.1","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm/ws",
"JPM","J P Morgan Chase & Co","61.93","231506029039.78","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/jpm",
"JPM^A","J P Morgan Chase & Co","23.41","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^a",
"JPM^B","J P Morgan Chase & Co","26.15","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^b",
"JPM^C","J P Morgan Chase & Co","25.69","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^c",
"JPM^D","J P Morgan Chase & Co","23.69","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^d",
"JPM^E","J P Morgan Chase & Co","25.48","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/jpm^e",
"MAYS","J. W. Mays, Inc.","49.1","98974798","n/a","n/a","Consumer Services","Building operators","http://www.nasdaq.com/symbol/mays",
"JBHT","J.B. Hunt Transport Services, Inc.","83.83","9821042537.93","n/a","n/a","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/jbht",
"JCP","J.C. Penney Company, Inc. Holding Company","6.59","2008974502.07","n/a","n/a","Consumer Services","Department/Specialty Retail Stores","http://www.nasdaq.com/symbol/jcp",
"JGW","J.G. Wentworth Company (The)","10.56","270380299.2","n/a","2013","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/jgw",
"SJM","J.M. Smucker Company (The)","102.79","10465775391.82","n/a","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/sjm",
"JCOM","j2 Global, Inc.","62.56","2990774264.64","n/a","1999","Technology","Telecommunications Equipment","http://www.nasdaq.com/symbol/jcom",
"JASO","JA Solar Holdings, Co., Ltd.","7.82","355809741.94","n/a","2007","Technology","Semiconductors","http://www.nasdaq.com/symbol/jaso",
"JBL","Jabil Circuit, Inc.","21.44","4142676356.8","n/a","1993","Technology","Electrical Products","http://www.nasdaq.com/symbol/jbl",
"JKHY","Jack Henry & Associates, Inc.","63.24","5171491157.4","n/a","1985","Technology","EDP Services","http://www.nasdaq.com/symbol/jkhy",
