,PER_END_DATE,EPS_BASIC_CONT_OPER
0,2015-06-30,15.03
1,2015-03-31,15.69
2,2014-12-31,15.68
3,2014-09-30,16.1472
4,2014-06-30,16.4572
5,2014-03-31,15.1375
6,2013-12-31,15.42
7,2013-09-30,14.9373
8,2013-06-30,14.5091
9,2013-03-31,14.9565
10,2012-12-31,14.88
11,2012-09-30,14.0181
12,2012-06-30,13.8862
13,2012-03-31,13.5497
14,2011-12-31,13.2462
15,2011-09-30,12.7986
16,2011-06-30,12.428
17,2011-03-31,12.0342
18,2010-12-31,11.6906
19,2010-09-30,11.139
20,2010-06-30,10.7147
21,2010-03-31,10.4072
22,2009-12-31,10.1155
23,2009-09-30,9.7396
24,2009-06-30,9.3818
25,2009-03-31,9.0511
26,2008-12-31,9.0071
27,2008-09-30,8.4996
28,2008-06-30,8.1424
29,2008-03-31,7.7032
30,2007-12-31,7.27
31,2007-09-30,6.8
32,2007-06-30,6.55
33,2007-03-31,6.29
34,2006-12-31,6.15
35,2006-09-30,5.9
36,2006-06-30,5.38
37,2006-03-31,5.22
38,2005-12-31,4.99
