ticker,dimension,calendardate,datekey,reportperiod,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,currentratio,de,debt,debtusd,depamor,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netmargin,payables,payoutratio,pb,pe,pe1,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxexp,tbvps,workingcapital
WMT,ARQ,2003-03-31,2003-04-15,2003-01-31,-509000000,94685000000,,30483000000,64202000000,,8.88,,2758000000,2758000000,,0.935,1.407,25401000000,25401000000,,0.006,0.09,,,,,,,,,,39337000000,,39337000000,265127997209,19,15.577,,,1.0,,,9521000000,,75190000000,,24891000000,55348000000,32617000000,22731000000,242484997209,,,,,,,,,,,,,,17140000000,,6.164,30.164,30.547,,55.29,0.984,0.994,2108000000,37924000000,,,,,,,,,1.0,4385693565,4430000000,,55.649,85164000000,,19.224,-2134000000
WMT,ARQ,2003-06-30,2003-06-09,2003-04-30,-605000000,96473000000,,31348000000,65125000000,,9.166,-1917000000,2468000000,2468000000,43918000000,0.973,1.4,25501000000,25501000000,888000000,0.006,0.09,3117000000,4005000000,0.07,4005000000,3117000000,2867000000,0.42,0.42,0.42,40200000000,,40200000000,258575033108,,,736000000,0.168,1.0,13306000000,0.233,9317000000,250000000,77967000000,,25927000000,56273000000,32222000000,24051000000,235542033108,-270000000,-816000000,320000000,-395000000,-960000000,-1854000000,2653000000,-109000000,1861000000,1861000000,1861000000,-31000000,0.033,17855000000,0.214,5.859,,,0,53.79,,,985000000,38400000000,57224000000,57224000000,0,,,,,10216000000,1.0,4378918630,4386000000,4395000000,,87156000000,1006000000,19.871,-874000000
WMT,ARQ,2003-09-30,2003-09-10,2003-07-31,266000000,98786000000,,32153000000,66633000000,,9.729,-2488000000,4472000000,4472000000,48298000000,0.979,1.319,25607000000,25607000000,954000000,0.006,0.09,3949000000,4903000000,0.078,4903000000,3949000000,3697000000,0.56,0.56,0.56,42594000000,,42594000000,269524021421,,,1176000000,0.269,1.0,14934000000,0.236,9573000000,252000000,77515000000,,25684000000,56192000000,32833000000,23359000000,248389021421,1984000000,-631000000,473000000,-393000000,-595000000,-1102000000,3664000000,17000000,2444000000,2444000000,2444000000,-161000000,0.039,17484000000,0.161,5.832,,,0,56.85,,,1062000000,39836000000,63232000000,63232000000,0,,,,,11142000000,1.0,4369200025,4378000000,4378000000,,89213000000,1253000000,20.378,-680000000
WMT,ARQ,2003-12-31,2003-12-11,2003-10-31,-92000000,104821000000,,36790000000,68031000000,,9.668,-2807000000,3312000000,3312000000,48292000000,0.938,1.486,27751000000,27751000000,971000000,0.007,0.09,3387000000,4358000000,0.069,4358000000,3387000000,3145000000,0.46,0.46,0.46,42172000000,,42172000000,252989120789,,,-1432000000,-0.328,1.0,14743000000,0.234,9446000000,242000000,80589000000,,31286000000,62649000000,39225000000,23424000000,228550120789,-1160000000,-1658000000,1952000000,-392000000,-55000000,-2642000000,1375000000,162000000,2028000000,2028000000,2028000000,0,0.032,20585000000,0.196,5.419,,,0,52.81,,,1111000000,39750000000,63035000000,63035000000,0,,,,,11344000000,1.0,4327781117,4362000000,4362000000,,95375000000,1117000000,21.865,-2435000000
WMT,ARQ,2004-03-31,2004-04-09,2004-01-31,851000000,104912000000,,34421000000,70491000000,,10.082,-2615000000,5199000000,5199000000,58239000000,0.92,1.405,26466000000,26466000000,1039000000,0.007,0.13,4717000000,5756000000,0.077,5756000000,4717000000,4462000000,0.63,0.63,0.63,43623000000,,43623000000,264847521987,17,13.925,5689000000,1.315,1.0,16951000000,0.225,9882000000,255000000,78879000000,,26612000000,61289000000,37418000000,23871000000,243580521987,1887000000,-1941000000,-1804000000,-389000000,-3953000000,-2714000000,8304000000,250000000,2721000000,2721000000,2721000000,0,0.036,19332000000,0.206,5.584,26.903,27.255,0,56.69,0.942,0.956,1254000000,40206000000,75190000000,75190000000,0,,,,,12205000000,1.0,4296710566,4327000000,4367000000,59.29,95030000000,1741000000,21.962,-2997000000
WMT,ARQ,2004-06-30,2004-06-04,2004-04-30,1479000000,107580000000,,34753000000,72827000000,,9.871,-2403000000,3828000000,3828000000,49969000000,0.846,1.538,29398000000,29398000000,1037000000,0.009,0.26,3605000000,4642000000,0.071,4642000000,3605000000,3355000000,0.5,0.5,0.5,42384000000,,42384000000,267177198926,17,13.591,-1536000000,-0.358,1.0,15474000000,0.236,10134000000,250000000,81950000000,,28320000000,65196000000,41066000000,24130000000,241607198926,-1371000000,-1943000000,2872000000,-558000000,393000000,-2698000000,867000000,67000000,2166000000,2166000000,2166000000,0,0.033,20643000000,0.52,5.7,25.815,26.321,0,56.59,0.905,0.91,1230000000,38292000000,65443000000,65443000000,0,,,,,11869000000,1.0,4269432743,4294000000,4302000000,62.156,97446000000,1189000000,22.694,-6313000000
WMT,ARQ,2004-09-30,2004-09-03,2004-07-31,1074000000,110059000000,,35616000000,74443000000,,10.118,-2784000000,4709000000,4709000000,53533000000,0.828,1.551,31588000000,31588000000,1031000000,0.011,0.13,4392000000,5423000000,0.077,5423000000,4392000000,4109000000,0.62,0.62,0.62,43144000000,,43144000000,252792825664,15,12.528,1222000000,0.287,1.0,16933000000,0.24,10124000000,283000000,83807000000,,27963000000,66915000000,43007000000,23908000000,225913825664,881000000,-1565000000,2143000000,-554000000,-114000000,-2955000000,4006000000,-56000000,2651000000,2651000000,2651000000,0,0.038,20086000000,0.21,5.236,23.616,24.095,0,53.25,0.824,0.828,1280000000,39427000000,70466000000,70466000000,0,,,,,12529000000,1.0,4242513158,4264000000,4272000000,64.29,99935000000,1458000000,23.437,-7391000000
WMT,ARQ,2004-12-31,2004-12-03,2004-10-31,1313000000,118089000000,,40977000000,77112000000,,10.581,-3331000000,4639000000,4639000000,52567000000,0.872,1.631,33643000000,33643000000,1093000000,0.009,0.0,3798000000,4891000000,0.071,4891000000,3798000000,3493000000,0.54,0.54,0.54,44886000000,,44886000000,253155513803,15,12.223,-756000000,-0.178,1.0,16694000000,0.241,10191000000,305000000,89886000000,,33347000000,73203000000,47016000000,26187000000,224151513803,-70000000,-890000000,2037000000,-552000000,530000000,-3203000000,2575000000,28000000,2286000000,2286000000,2286000000,0,0.033,22670000000,0.0,4.994,22.817,23.114,0,52.93,0.8,0.801,1418000000,40850000000,69261000000,69261000000,0,,,,,12910000000,1.0,4234867066,4242000000,4249000000,66.091,107898000000,1207000000,25.436,-6039000000
WMT,ARQ,2005-03-31,2005-03-31,2005-01-31,2694000000,120223000000,,38491000000,81732000000,,11.655,-3422000000,5488000000,5488000000,63724000000,0.897,1.434,31450000000,31450000000,1244000000,0.011,0.28,5249000000,6493000000,0.078,6493000000,5249000000,4900000000,0.74,0.75,0.74,49396000000,,49396000000,238077734980,13,11.1,4174000000,0.985,1.0,19095000000,0.231,10803000000,349000000,92494000000,,29447000000,70827000000,42888000000,27939000000,212115734980,849000000,-151000000,-3011000000,-550000000,-3418000000,-3495000000,7596000000,166000000,3164000000,3164000000,3164000000,0,0.038,21671000000,0.378,4.294,20.66,20.793,0,50.11,0.737,0.741,1715000000,43854000000,82819000000,82819000000,0,,,,,13797000000,1.0,4233002095,4238000000,4242000000,67.619,109420000000,1736000000,25.819,-4397000000
WMT,ARQ,2005-06-30,2005-06-03,2005-04-30,2211000000,122215000000,,39641000000,82574000000,,11.162,-2471000000,4955000000,4955000000,54571000000,0.806,1.59,32913000000,32913000000,1132000000,0.012,0.15,3925000000,5057000000,0.071,5057000000,3925000000,3673000000,0.58,0.58,0.58,47191000000,,47191000000,225976722807,13,10.336,42000000,0.01,1.0,17109000000,0.239,10786000000,252000000,90219000000,,31349000000,75024000000,49168000000,25856000000,198018722807,-533000000,-1415000000,1697000000,-635000000,-509000000,-2496000000,2513000000,-41000000,2461000000,2461000000,2461000000,0,0.034,24856000000,0.259,4.196,18.748,19.093,0,47.35,0.673,0.68,1520000000,42153000000,71680000000,71680000000,0,,,,,13168000000,1.0,4182021601,4228000000,4234000000,69.59,111429000000,1212000000,26.355,-9527000000
